Areas;Unidade;2022;2021;2020;2019;2018;;;;
1820: Reprodução de suportes gravados;1000 euros;2 430;2 922;2 983;10 651;9 608;;;;
3212: Fabricação de joalharia, ourivesaria e artigos similares;1000 euros;138 545;109 894;73 089;117 298;103 379;;;;
3220: Fabricação de instrumentos musicais;1000 euros;7 224;7 471;6 603;7 032;6 247;;;;
4761: Comércio a retalho de livros, em estabelecimentos especializados;1000 euros;175 720;153 635;145 998;163 667;155 075;;;;
4762: Comércio a retalho de jornais, revistas e artigos de papelaria, em estabelecimentos especializados;1000 euros;911 153;853 909;828 447;895 621;854 698;;;;
4763: Comércio a retalho de discos, CD, DVD, cassetes e similares, em estabelecimentos especializados;1000 euros;4 513;3 933;3 619;4 606;4 074;;;;
5811: Edição de livros;1000 euros;371 077;352 292;369 390;337 018;316 102;;;;
5813: Edição de jornais;1000 euros;138 369;124 137;113 548;133 418;137 943;;;;
5814: Edição de revistas e de outras publicações periódicas;1000 euros;133 456;140 645;138 877;167 728;179 845;;;;
5821: Edição de jogos de computador;1000 euros;38 412;23 834;11 138;7 320;5 468;;;;
5911: Produção de filmes, de vídeos e de programas de televisão;1000 euros;549 642;423 843;332 088;398 548;360 080;;;;
5912: Atividades técnicas de pós-produção para filmes, vídeos e programas de televisão;1000 euros;37 819;26 734;21 152;22 540;25 026;;;;
5913: Distribuição de filmes, de vídeos e de programas de televisão;1000 euros;68 739;67 975;58 360;94 247;91 484;;;;
5914: Projeção de filmes e de vídeos;1000 euros;86 784;60 174;48 590;123 207;111 046;;;;
5920: Atividades de gravação de som e edição de música;1000 euros;78 762;54 312;44 015;37 481;35 292;;;;
6010: Atividades de rádio;1000 euros;59 511;54 298;50 179;70 569;63 067;;;;
6020: Atividades de televisão;1000 euros;718 546;713 291;636 990;649 553;640 942;;;;
6391: Atividades de agências de notícias;1000 euros;36 211;35 440;36 074;40 932;38 115;;;;
7111: Atividades de arquitetura;1000 euros;649 305;555 000;490 220;528 694;471 789;;;;
7311: Agências de publicidade;1000 euros;1 136 221;894 750;768 197;911 564;845 252;;;;
7410: Atividades de design;1000 euros;504 276;398 933;332 359;365 660;330 614;;;;
7420: Atividades fotográficas;1000 euros;94 462;68 705;64 175;87 137;83 954;;;;
7430: Atividades de tradução e interpretação;1000 euros;91 713;83 595;76 789;83 230;76 160;;;;
7722: Aluguer de videocassetes e discos;1000 euros;373;568;826;604;563;;;;
8552: Ensino de atividades culturais;1000 euros;14 943;11 073;9 552;12 444;10 784;;;;
9001: Atividades das artes do espetáculo;1000 euros;554 845;286 524;196 637;390 091;340 998;;;;
9002: Atividades de apoio às artes do espetáculo;1000 euros;233 606;106 195;65 926;116 625;112 962;;;;
9003: Criação artística e literária;1000 euros;106 870;91 722;69 501;84 652;75 785;;;;
9004: Exploração de salas de espetáculos e atividades conexas;1000 euros;20 628;9 747;7 488;9 568;7 890;;;;
9101: Atividades das bibliotecas e arquivos;1000 euros;16 614;14 838;13 235;8 363;7 971;;;;
9102: Atividades dos museus;1000 euros;24 770;12 249;8 515;24 537;22 248;;;;
9103: Atividades dos sítios e monumentos históricos;1000 euros;24 349;20 861;14 489;16 235;15 858;;;;
Em percentagem no total do sector empresarial não financeiro;%;1,5;1,6;1,6;1,7;2;;;;
;;;;;;;;;;
1.4.4. Valor acrescentado bruto das empresas ;;;;;;;;;;
